Word,Meaning
acquiesce,đồng ý
advantageous,"có lợi, thuận lợi"
assistance,sự giúp đỡ
belated,đến muộn
beneficial,có lợi
buccaneer,cướp biển
cease,"dừng, ngừng"
commence,"bắt đầu, khởi đầu"
concur,đồng ý
denote,"biểu hiện, có nghĩa là"
depict,"tả, miêu tả"
dominant,"có ưu thế hơn, thống trị"
elucidate,"làm sáng tỏ, giải thích"
enquiry,câu hỏi
expeditiously,"mau lẹ, nhanh nhẹn"
finalise,"làm xong, hoàn thành"
frequently,thường xuyên
furnish,cung cấp
generate,"sinh, đẻ ra"
grant,"cho, cấp"
henceforth,từ nay trở đi
heretofore,"cho đến nay, trước đây"
huffish,"dễ tự ái, dễ nổi cáu"
immediately,ngay lập tức
indicate,"chỉ, cho biết"
initially,"vào lúc đầu, ban đầu"
instances,ví dụ
jabberwocky,lời nói vô nghĩa
jeopardise,"nguy hại, gây nguy hiểm"
jubilation,"sự vui sướng, sự mừng rỡ"
locality,"vùng, địa phương"
longheaded,"có đầu óc, nhìn xa trong rộng"
magnitude,"tầm lớn, độ lớn"
material,nguyên liệu
moreover,hơn nữa
nevertheless,tuy nhiên
natural,tự nhiên
numerous,"đông, nhiều"
option,sự lựa chọn
ordinarily,thông thường
outstanding,nổi bật
participate,tham gia
permit,cho phép
person,con người
reduce,"giảm, hạ"
report,"báo cáo, trình báo"
require,"yêu cầu, đòi hỏi"
select,lựa chọn
state,"phát biểu, tuyên bố"
supply,cung cấp
talent,"tài năng, tài ba"
technologist,kỹ sư công nghệ
transmit,"chuyển giao, truyền"
umbrella,"ô, dù"
universiry,trường đại học
upcoming,"sắp tới, sắp xảy ra"
vacation,kỳ nghỉ
victory,sự chiến thắng
voice,giọng nói
waiter,bồi bàn
hello,xin chào
television,cái tivi
tdtu,ton duc thang university
fish,con cá
house,cái nhà
mouse,con chuột
agree,"đồng ý, tán thành"
amazing,"kinh ngạc, sửng sốt"
angry,"giận, tức giận"
mountain,núi
chicken,con gà
shirt,áo sơ mi
motobike,xe máy
car,xe hơi
printer,máy in
